threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count
0,322,3220,1258,0.3906832298136646,192
10,322,3220,1258,0.3906832298136646,192
20,316,3160,1258,0.3981012658227848,190
30,309,3090,1244,0.40258899676375404,189
40,301,3010,1225,0.4069767441860465,186
50,296,2960,1222,0.41283783783783784,184
60,291,2910,1215,0.4175257731958763,182
70,255,2550,1162,0.4556862745098039,164
80,238,2380,1148,0.4823529411764706,158
90,171,1710,1021,0.5970760233918129,122
